seconds,accX,accY,accZ
205.0,-2.0,2.0,1.23
206.0,-2.0,2.0,1.66
207.0,-0.12,-0.68,0.66
208.0,-1.96,2.0,0.09
209.0,-0.35,0.53,-0.28
211.0,-0.54,-1.59,0.95
212.0,-0.91,0.38,-1.44
213.0,-1.78,2.0,-0.22
214.0,-0.7,0.67,0.05
215.0,-0.63,0.05,0.12
216.0,-0.72,0.41,0.14
217.0,-0.77,0.45,-0.12
218.0,-0.85,0.66,0.15
219.0,-0.73,1.24,0.0
220.0,-1.3,1.3,0.1
222.0,-1.31,0.23,0.04
223.0,-1.69,0.43,0.13
224.0,-0.98,0.68,0.51
225.0,-0.77,0.59,-0.79
226.0,0.01,0.47,-0.07
227.0,-0.11,-0.06,0.06
228.0,-0.24,-0.48,-0.02
229.0,-0.17,-0.17,-0.07
230.0,-0.23,-0.18,0.32
232.0,-0.75,0.82,1.04
233.0,-2.0,1.72,1.86
234.0,-0.46,-0.74,0.52
235.0,-2.0,2.0,-0.99
236.0,-0.27,-1.75,0.54
237.0,-0.89,0.02,-1.32
238.0,-1.44,1.37,-0.79
239.0,-0.4,0.41,-0.1
240.0,-0.58,0.08,0.19
241.0,-0.69,0.4,0.13
243.0,-0.74,0.58,0.02
244.0,-0.52,0.82,0.17
245.0,-1.03,0.76,0.09
246.0,-0.81,1.08,0.24
247.0,-1.14,1.39,-0.04
248.0,-1.18,0.43,0.12
249.0,-1.44,0.41,-0.17
250.0,-1.66,0.4,0.02
251.0,-1.27,0.48,0.58
253.0,-0.99,0.61,-0.1
254.0,-0.44,0.5,-0.79
255.0,-0.13,0.35,-0.65
256.0,0.09,-0.22,0.27
257.0,-0.16,-0.31,-0.21
258.0,-0.22,-0.3,-0.12
259.0,-0.14,-0.12,0.2
260.0,-0.42,0.64,0.58
261.0,-2.0,1.95,1.97
262.0,-1.28,0.39,1.51
264.0,0.42,-0.66,0.16
265.0,-1.27,0.11,0.97
266.0,-1.75,1.18,0.63
267.0,-1.54,1.88,0.47
268.0,-0.94,1.68,-0.03
269.0,0.15,-1.27,-0.75
270.0,-0.96,-0.28,0.88
271.0,-1.79,0.91,-1.25
272.0,-0.9,0.24,-0.13
274.0,-1.41,2.0,1.23
275.0,-0.64,1.71,1.16
276.0,-0.6,0.65,-0.17
277.0,-0.73,0.56,0.16
278.0,-0.68,0.35,-0.23
279.0,-0.56,0.36,-0.04
280.0,-0.63,0.31,0.15
281.0,-0.79,0.42,0.14
282.0,-0.68,0.3,0.1
284.0,-0.69,0.44,-0.14
285.0,-0.64,0.83,0.0
286.0,-0.74,0.67,0.19
287.0,-0.92,0.89,-0.08
288.0,-0.85,1.13,-0.18
289.0,-1.01,1.11,0.3
290.0,-1.17,1.38,0.07
291.0,-1.27,1.13,-0.04
413.0,-0.81,0.5,0.18
414.0,-0.67,0.37,0.02
415.0,-0.64,0.49,-0.06
416.0,-0.64,0.52,0.09
417.0,-0.89,0.76,0.08
418.0,-1.02,0.94,-0.09
420.0,-0.83,0.98,0.01
421.0,-0.93,1.0,0.38
422.0,-1.04,1.23,0.14
423.0,-0.97,1.5,-0.24
424.0,-1.13,1.28,-0.09
425.0,-1.03,1.0,0.17
426.0,-0.97,0.81,0.4
427.0,-1.27,0.55,0.36
428.0,-1.38,0.38,0.08
430.0,-1.47,0.63,-0.11
431.0,-1.88,0.78,0.15
432.0,-1.66,0.35,0.54
433.0,-1.12,0.71,0.41
434.0,-0.83,0.73,-0.26
435.0,-0.81,0.78,-1.11
436.0,-0.07,0.37,-0.19
437.0,-0.13,-0.24,-0.16
438.0,-0.14,-0.39,-0.09
439.0,-0.27,0.27,0.33
441.0,-1.3,1.36,1.39
442.0,-1.67,0.85,1.7
443.0,-0.33,0.07,1.23
444.0,-0.12,-0.5,0.45
445.0,-1.78,1.8,0.68
446.0,-2.0,2.0,-1.21
447.0,-0.58,1.27,-0.28
448.0,0.1,-1.32,-1.16
449.0,-0.74,-0.18,-0.39
451.0,-1.58,1.02,-1.36
452.0,-1.6,2.0,-0.53
453.0,-0.13,0.87,-0.08
454.0,-0.53,0.69,-0.21
455.0,-0.72,0.36,0.07
456.0,-0.7,0.23,0.17
457.0,-0.66,0.42,0.02
458.0,-0.49,0.84,-0.02
459.0,-0.91,0.75,0.07
460.0,-0.62,1.01,0.32
462.0,-1.09,1.47,-0.24
463.0,-1.17,0.62,0.24
464.0,-1.57,0.54,-0.18
465.0,-1.77,0.72,-0.0
466.0,-1.65,0.51,0.36
467.0,-1.45,0.36,0.67
468.0,-0.89,0.67,-0.27
469.0,-0.36,0.6,-0.67
470.0,0.01,0.06,-0.02
472.0,-0.19,-0.25,-0.09
473.0,-0.25,-0.29,-0.11
474.0,-0.22,-0.2,-0.12
475.0,-0.12,-0.32,0.08
476.0,-0.67,0.9,0.97
477.0,-1.79,1.95,1.62
478.0,-1.94,1.14,1.9
479.0,0.04,-0.5,0.28
480.0,-2.0,1.74,0.84
482.0,-2.0,2.0,-0.84
483.0,-0.15,-0.94,-1.25
484.0,-0.4,-2.0,2.0
485.0,-0.75,0.29,-2.0
486.0,-1.64,1.84,-0.52
487.0,-0.13,0.74,-0.63
488.0,-0.68,0.38,-0.08
489.0,-0.71,0.22,0.31
490.0,-0.72,0.41,0.1
491.0,-0.49,0.55,0.01
493.0,-0.54,0.83,0.13
494.0,-1.02,0.9,0.2
495.0,-0.82,1.13,0.4
496.0,-1.18,0.87,-0.01
497.0,-1.47,0.47,-0.17
498.0,-1.61,0.71,-0.13
499.0,-1.57,0.29,0.57
500.0,-0.67,0.48,-0.57
501.0,-0.5,0.6,-0.86
503.0,-0.17,0.16,0.0
504.0,-0.27,-0.49,-0.07
505.0,-0.22,-0.39,0.19
506.0,-0.64,0.99,1.09
507.0,-2.0,2.0,2.0
508.0,0.16,-0.26,0.11
509.0,-2.0,1.75,0.97
510.0,0.08,-0.84,-1.59
511.0,-0.45,-0.79,1.66
512.0,-1.99,1.86,-0.98
514.0,-0.04,1.58,0.9
515.0,-0.46,0.33,-0.06
516.0,-0.74,0.47,0.06
517.0,-0.71,0.34,0.17
518.0,-0.71,0.33,0.13
519.0,-0.67,0.56,0.0
520.0,-0.41,0.87,0.01
521.0,-0.97,0.86,0.14
522.0,-0.75,1.05,0.41
524.0,-0.95,1.45,-0.04
525.0,-1.24,0.27,-0.04
526.0,-1.55,0.49,-0.22
527.0,-1.8,0.42,0.32
528.0,-1.09,0.54,0.53
529.0,-0.64,0.68,-1.09
530.0,-0.08,0.28,-0.28
531.0,-0.16,-0.17,-0.19
532.0,-0.28,-0.3,0.04
533.0,-0.09,-0.13,0.16
535.0,-0.96,1.43,1.95
536.0,-0.28,-0.07,1.01
537.0,-1.6,1.8,0.54
538.0,-0.52,-1.63,0.07
539.0,-0.68,-0.11,-1.99
540.0,-1.93,1.47,-0.91
541.0,-0.32,0.49,-0.36
542.0,-0.75,0.54,0.04
543.0,-0.69,0.35,0.28
545.0,-0.61,0.44,0.08
546.0,-0.61,0.58,0.11
547.0,-0.88,0.7,0.06
548.0,-0.67,1.07,0.08
549.0,-0.87,1.72,-0.23
550.0,-1.27,0.56,0.4
551.0,-1.47,0.43,-0.06
552.0,-1.83,0.74,0.01
553.0,-1.63,0.4,0.55
555.0,-0.98,0.66,0.14
556.0,-0.79,0.68,-0.34
557.0,-0.57,0.71,-0.76
558.0,-0.4,0.67,-0.39
559.0,-0.17,0.48,0.1
560.0,-0.4,0.66,-0.32
561.0,-0.6,0.96,-0.31
562.0,-0.9,0.7,-0.51
563.0,-0.65,0.55,-0.8
564.0,-0.39,0.7,-0.81
566.0,-0.05,0.35,0.04
567.0,-0.33,0.02,-0.28
568.0,-0.4,-0.33,-0.07
569.0,-0.11,-0.28,0.3
570.0,-0.4,0.82,0.81
571.0,-2.0,2.0,2.0
572.0,0.3,-0.41,0.12
573.0,-2.0,2.0,0.86
574.0,0.44,-1.34,-0.58
576.0,-0.57,-0.87,2.0
577.0,-2.0,1.42,-0.83
578.0,0.0,1.08,1.09
579.0,-0.49,0.57,-0.44
580.0,-0.59,0.32,-0.12
581.0,-0.72,0.22,0.24
582.0,-0.62,0.45,0.01
583.0,-0.78,0.48,-0.0
584.0,-0.45,0.92,0.17
585.0,-0.8,0.73,0.14
587.0,-0.92,0.96,-0.11
588.0,-0.73,1.12,-0.04
589.0,-1.12,1.51,-0.25
590.0,-1.19,1.09,-0.01
591.0,-1.47,0.21,0.16
592.0,-1.78,0.73,-0.03
593.0,-1.53,0.5,0.42
594.0,-0.71,0.64,-0.43
595.0,-0.3,0.47,-0.49
597.0,-0.04,0.08,0.27
598.0,-0.14,-0.29,-0.22
599.0,-0.12,-0.33,-0.09
600.0,-0.26,0.56,0.27
601.0,-1.38,1.48,1.55
602.0,-0.67,-0.35,1.18
603.0,0.15,-0.41,0.24
604.0,-1.7,1.54,0.56
605.0,-2.0,2.0,0.86
606.0,-0.01,-0.12,-1.04
608.0,-0.41,-2.0,1.22
609.0,-0.83,-0.19,-0.56
610.0,-0.93,0.81,-2.0
611.0,-1.69,1.08,-1.21
612.0,-1.59,1.81,-0.19
613.0,-0.05,1.13,0.69
614.0,-0.59,0.51,-0.36
615.0,-0.48,0.27,-0.11
616.0,-0.74,0.66,-0.17
618.0,-0.48,0.49,-0.1
619.0,-0.33,0.27,-0.16
620.0,-0.56,0.52,-0.05
621.0,-0.81,0.39,0.12
622.0,-0.61,0.45,0.02
623.0,-0.49,1.02,0.12
624.0,-0.6,0.83,0.08
625.0,-0.91,0.78,0.15
626.0,-0.73,1.13,-0.3
628.0,-1.08,1.11,0.24
629.0,-1.07,1.27,0.38
630.0,-1.14,0.95,0.04
631.0,-1.56,0.49,-0.01
632.0,-1.66,0.79,-0.15
633.0,-1.67,0.6,0.07
634.0,-1.04,0.67,0.49
635.0,-0.69,0.76,-1.13
636.0,-0.36,0.54,-1.06
637.0,-0.08,0.45,0.35
639.0,-0.05,-0.14,-0.13
640.0,-0.18,-0.32,-0.16
641.0,-0.05,-0.29,0.09
642.0,-0.23,0.44,0.34
643.0,-0.55,0.89,0.95
644.0,-1.87,2.0,1.83
645.0,-0.64,-0.05,1.26
