seconds,accX,accY,accZ
28.0,-1.29,-0.18,-0.62
29.0,-1.86,0.29,0.73
30.0,-0.95,-0.94,1.39
6.0,0.7,0.07,0.06
7.0,-2.0,1.21,0.28
8.0,-2.0,0.62,0.05
9.0,-2.0,0.88,2.0
11.0,0.22,1.34,0.42
12.0,0.25,-1.06,0.03
13.0,-1.57,0.88,-0.13
14.0,-2.0,0.32,0.24
15.0,0.08,-0.03,-0.09
16.0,-0.36,1.5,-0.62
17.0,-0.16,-0.92,-0.06
18.0,-2.0,1.27,-1.36
19.0,-2.0,0.36,0.5
20.0,0.47,-0.12,-0.27
22.0,-0.23,0.73,0.43
23.0,0.05,-0.1,-0.43
24.0,-1.82,0.04,-0.46
25.0,-2.0,1.12,0.35
26.0,-1.55,1.09,0.92
27.0,-0.14,1.78,-0.21
28.0,0.56,-0.99,-0.17
29.0,-1.37,0.54,-0.99
30.0,-2.0,0.61,0.55
32.0,0.66,-1.01,-0.41
33.0,0.24,0.15,0.23
37.0,-0.68,0.36,0.72
38.0,-0.61,0.07,0.9
39.0,-1.1,0.67,-0.21
40.0,-2.0,-0.08,-0.27
41.0,-2.0,1.63,0.62
43.0,-0.28,0.34,1.08
44.0,0.07,1.58,-0.55
45.0,-0.41,-0.55,-0.09
46.0,-1.77,0.2,-0.7
47.0,-2.0,1.74,1.58
48.0,-2.0,1.24,0.59
49.0,-0.79,0.71,1.12
50.0,-1.62,0.47,-0.41
51.0,-2.0,0.97,-1.16
53.0,-2.0,1.93,1.0
54.0,-1.73,0.64,0.91
55.0,-0.78,0.46,0.43
56.0,-1.97,0.84,-0.29
57.0,-0.06,-0.7,-0.98
58.0,-0.22,-0.3,0.21
59.0,0.52,-1.47,0.27
60.0,-1.23,0.76,-1.26
61.0,-2.0,0.53,0.54
63.0,-1.0,1.41,1.15
64.0,-0.42,0.15,-0.03
65.0,-0.92,0.3,-0.42
66.0,0.57,-0.74,-0.84
67.0,0.31,0.78,0.25
68.0,-0.32,-0.33,-0.04
69.0,-0.81,-0.25,-0.89
70.0,-0.16,0.97,-0.01
71.0,-2.0,1.09,-0.32
73.0,-1.11,-0.61,-0.53
74.0,-0.15,0.75,-0.31
75.0,-0.89,0.43,-0.75
76.0,-2.0,0.08,-0.55
77.0,-2.0,2.0,1.25
78.0,-1.41,1.34,1.14
79.0,-0.58,0.46,0.21
80.0,-0.64,0.34,-0.44
